22	32
2	33
5	34
7	35
7	36
22	37
5	38
5	39
5	40
5	41
22	42
5	43
30	44
30	45
5	46
21	47
22	48
7	49
20	50
5	51
7	52
11	53
17	54
7	55
23	56
23	57
17	58
23	59
11	60
9	61
11	62
11	63
23	64
23	65
17	66
9	67
11	68
21	69
23	70
23	71
24	72
23	73
17	74
24	75
23	76
23	77
11	78
20	79
21	80
8	81
24	82
24	83
0	84
24	85
24	86
17	87
11	88
21	89
17	90
24	91
10	92
10	93
4	94
16	95
16	96
29	97
26	98
18	99
3	100
26	101
3	102
5	103
16	104
10	105
18	106
18	107
12	108
16	109
27	110
16	111
16	112
4	113
10	114
3	115
10	116
29	117
18	118
13	119
27	120
27	121
14	122
31	123
14	124
31	125
13	126
12	127
13	128
14	129
19	130
6	131
31	132
29	133
31	134
3	135
31	136
31	137
14	138
6	139
13	140
31	141
31	142
31	143
13	144
31	145
14	146
14	147
1	148
31	149
1	150
15	151
15	152
14	153
28	154
1	155
31	156
28	157
31	158
13	159
3	160
22	161
1	162
14	163
28	164
1	165
1	166
14	167
14	168
1	169
31	170
15	171
31	172
19	32
24	33
29	35
29	36
19	37
27	38
27	39
27	40
27	41
19	42
27	43
0	44
0	45
6	47
27	51
29	49
27	34
19	48
27	46
18	50
29	52
14	53
2	54
29	55
25	56
25	57
25	70
25	59
14	60
1	61
14	62
14	63
25	64
25	65
2	66
1	67
14	68
6	69
2	58
25	71
7	72
25	73
2	74
25	77
18	79
6	80
2	90
13	81
7	82
7	83
11	84
7	85
7	86
2	87
14	88
6	89
7	75
25	76
14	78
7	91
30	92
17	94
15	95
15	96
8	97
20	115
22	98
9	99
22	101
20	102
27	103
8	117
15	104
30	105
9	106
9	107
31	108
15	109
12	110
15	111
9	118
15	112
17	113
30	116
20	100
30	114
30	93
23	122
5	143
5	123
23	124
5	142
5	125
10	126
31	127
10	128
23	129
21	130
26	131
8	133
23	146
5	134
20	135
5	136
5	145
5	137
23	138
26	139
10	140
5	141
5	132
10	144
16	171
23	147
4	148
5	149
4	150
16	151
16	152
23	153
23	168
5	156
5	158
23	167
10	159
20	160
19	161
5	170
4	162
23	163
4	165
4	166
5	172
4	155
4	169
