0	6
0	8
0	11
0	17
0	23
0	29
1	15
2	5
2	13
2	29
3	10
3	22
5	16
5	18
5	21
5	29
6	2
6	13
6	29
6	31
7	23
8	22
8	24
8	30
9	20
9	31
10	18
10	20
10	21
10	23
11	2
11	13
11	14
11	20
11	25
12	16
13	3
13	7
13	19
13	27
14	6
14	18
14	19
14	28
15	14
15	22
15	30
16	10
16	23
16	26
17	8
18	0
18	4
18	6
18	12
18	13
19	0
19	4
19	5
19	6
20	17
20	19
20	21
20	30
21	8
21	17
21	22
21	24
21	26
22	1
22	31
23	20
23	21
23	26
23	28
24	20
24	27
24	29
25	13
25	18
26	5
26	8
27	6
27	8
27	9
27	15
27	18
27	30
29	10
29	14
29	18
29	25
29	26
30	7
30	9
30	21
31	15
31	25
